title,link,price_vat_excl,duration_hrs,category
Level 2 Food Hygiene and Safety for Catering,https://www.highspeedtraining.co.uk/food-safety/training/level2-food-hygiene-safety-catering.aspx,20, 2 ,food-safety
Asbestos Awareness (Category A) Training Course,https://www.highspeedtraining.co.uk/health-and-safety/online-asbestos-awareness-training.aspx,25, 2-3 ,health-and-safety
Manual Handling Training,https://www.highspeedtraining.co.uk/health-and-safety/online-manual-handling-training.aspx,25, 3 ,health-and-safety
Level 3 Supervising Food Safety in Catering,https://www.highspeedtraining.co.uk/food-safety/training/level3-supervising-food-safety-catering.aspx,125, 8-10 ,food-safety
Work At Height Training,https://www.highspeedtraining.co.uk/health-and-safety/online-working-at-heights-course.aspx,25, 1-2 ,health-and-safety
GDPR,https://www.highspeedtraining.co.uk/business-skills/gdpr-training.aspx,25, 1 ,business-skills
Workplace First Aid Training,https://www.highspeedtraining.co.uk/health-and-safety/workplace-first-aid-training.aspx,25, 2-3 ,health-and-safety
"Designated Safeguarding Officer Training
											
										(Level 3 Safeguarding Children)",https://www.highspeedtraining.co.uk/safeguarding-people/designated-safeguarding-officer-training-course.aspx,60, 3 ,safeguarding-people
Fire Warden Training,https://www.highspeedtraining.co.uk/health-and-safety/fire-warden-training.aspx,35, 2-3 ,health-and-safety
Level 2 Health and Safety in the Workplace,https://www.highspeedtraining.co.uk/health-and-safety/online-health-and-safety-training.aspx,30, 3-4 ,health-and-safety
Level 3 HACCP Training,https://www.highspeedtraining.co.uk/food-safety/level-3-haccp-course.aspx,125, 8 ,food-safety
Introduction to Safeguarding Children Training Course (Level 1 Safeguarding),https://www.highspeedtraining.co.uk/safeguarding-people/introduction-to-safeguarding-children-training-course.aspx,30, 3 ,safeguarding-people
Level 3 Health & Safety in the Workplace,https://www.highspeedtraining.co.uk/health-and-safety/online-level-3-health-and-safety-training.aspx,150, 8-10 ,health-and-safety
Level 3 Supervising Food Safety in Manufacturing,https://www.highspeedtraining.co.uk/food-safety/training/level3-food-safety-supervision-manufacturing.aspx,125, 8-10 ,food-safety
Level 2 Food Hygiene and Safety for Manufacturing,https://www.highspeedtraining.co.uk/food-safety/training/level2-food-hygiene-safety-manufacturing.aspx,20, 2 ,food-safety
Advanced Safeguarding Children (Level 2 Safeguarding),https://www.highspeedtraining.co.uk/safeguarding-people/advanced-safeguarding-children-training-course.aspx,39, 2-3 ,safeguarding-people
Level 2 Food Hygiene and Safety for Retail,https://www.highspeedtraining.co.uk/food-safety/training/level2-food-hygiene-safety-retail.aspx,20, 2 ,food-safety
Level 1 Food Hygiene and Safety,https://www.highspeedtraining.co.uk/food-safety/training/level-1-food-hygiene-and-safety.aspx,15, 1-2 ,food-safety
COSHH - Control of Substances Hazardous to Health Course,https://www.highspeedtraining.co.uk/health-and-safety/coshh-control-of-substances-hazardous-to-health-training.aspx,25, 2-3 ,health-and-safety
Online Fire Safety Course,https://www.highspeedtraining.co.uk/health-and-safety/online-fire-safety-training.aspx,30, 1-2 ,health-and-safety
Fire Safety for Schools,https://www.highspeedtraining.co.uk/education/fire-safety-training-for-schools.aspx,30, 2-3 ,education
Abrasive Wheels,https://www.highspeedtraining.co.uk/health-and-safety/abrasive-wheels-training-course.aspx,30, 1-2 ,health-and-safety
Data Protection,https://www.highspeedtraining.co.uk/financial-services/data-protection-course.aspx,25, 2 ,financial-services
Data Protection for Schools,https://www.highspeedtraining.co.uk/education/data-protection-training-for-schools.aspx,25, 2 ,education
Level 2 HACCP Training,https://www.highspeedtraining.co.uk/food-safety/level-2-haccp-course.aspx,30, 3 ,food-safety
Legionella and Legionnaires' Disease Awareness Course,https://www.highspeedtraining.co.uk/health-and-safety/legionella-and-legionnaires-disease-awareness-training.aspx,30, 2-3 ,health-and-safety
Risk Assessment,https://www.highspeedtraining.co.uk/health-and-safety/risk-assessment.aspx,30, 1 ,health-and-safety
Level 1 Health & Safety in the Workplace,https://www.highspeedtraining.co.uk/health-and-safety/online-level-1-health-and-safety-training.aspx,20, 2 ,health-and-safety
Ladder Safety Training,https://www.highspeedtraining.co.uk/health-and-safety/ladder-safety-training.aspx,30, 2 ,health-and-safety
Working in Confined Spaces,https://www.highspeedtraining.co.uk/health-and-safety/working-in-confined-spaces-training.aspx,25, 2 ,health-and-safety
Equality and Diversity Training Course,https://www.highspeedtraining.co.uk/business-skills/equality-and-diversity-training-course.aspx,30, 2 ,business-skills
Anti-Money Laundering (AML) and Financial Crime,https://www.highspeedtraining.co.uk/financial-services/anti-money-laundering-financial-crime-course.aspx,25, 3 ,financial-services
Safeguarding Vulnerable Adults Training (Level 1),https://www.highspeedtraining.co.uk/safeguarding-people/safeguarding-vulnerable-adults-training-course.aspx,30, 3 ,safeguarding-people
Safer Recruitment Training,https://www.highspeedtraining.co.uk/safeguarding-people/safer-recruitment-training-course.aspx,30, 2-3 ,safeguarding-people
Paediatric First Aid Training,https://www.highspeedtraining.co.uk/health-and-safety/paediatric-first-aid-training.aspx,25, 2-3 ,health-and-safety
Fire Risk Assessment Training,https://www.highspeedtraining.co.uk/health-and-safety/fire-risk-assessment-training.aspx,35, 3 ,health-and-safety
Anti-Bribery Training,https://www.highspeedtraining.co.uk/business-skills/anti-bribery-course.aspx,30, 1 ,business-skills
Food Allergen Awareness Training,https://www.highspeedtraining.co.uk/food-safety/food-allergen-awareness-training.aspx,20, 1-2 ,food-safety
Respirable Crystalline Silica Awareness Training,https://www.highspeedtraining.co.uk/health-and-safety/respirable-crystalline-silica-awareness-course.aspx,25, 2 ,health-and-safety
Pest Control Course,https://www.highspeedtraining.co.uk/health-and-safety/pest-control-training-course.aspx,25, 2 ,health-and-safety
Environmental Awareness Training,https://www.highspeedtraining.co.uk/health-and-safety/online-environmental-awareness-training.aspx,25, 2 ,health-and-safety
Safer Recruitment in Education Training,https://www.highspeedtraining.co.uk/safeguarding-people/safer-recruitment-in-education-training-course.aspx,30, 2-3 ,safeguarding-people
Electrical Safety Training,https://www.highspeedtraining.co.uk/health-and-safety/online-electrical-safety-training.aspx,25, 1-2 ,health-and-safety
Leadership and Management Training,https://www.highspeedtraining.co.uk/business-skills/leadership-management-course.aspx,60, 6 ,business-skills
Level 3 Supervising Food Safety in Retail,https://www.highspeedtraining.co.uk/food-safety/training/level3-food-safety-supervision-retail.aspx,125, 8-10 ,food-safety
Advanced Safeguarding Adults Training (Level 2),https://www.highspeedtraining.co.uk/safeguarding-people/advanced-safeguarding-adults-training.aspx,40, 1-2 ,safeguarding-people
Safeguarding Children in Education,https://www.highspeedtraining.co.uk/safeguarding-people/safeguarding-children-education.aspx,30, 2-3 ,safeguarding-people
CDM Regulations Training Course,https://www.highspeedtraining.co.uk/health-and-safety/cdm-regulations-training.aspx,20, 1-2 ,health-and-safety
Infection Control and Prevention,https://www.highspeedtraining.co.uk/health-and-safety/online-infection-control-prevention-training.aspx,20, 1-2 ,health-and-safety
