title,price,link
Level 2 Food Hygiene and Safety for Catering,20 +VAT,https://www.highspeedtraining.co.uk/food-safety/training/level2-food-hygiene-safety-catering.aspx
Asbestos Awareness (Category A) Training Course,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-asbestos-awareness-training.aspx
Manual Handling Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-manual-handling-training.aspx
Level 3 Supervising Food Safety in Catering,125 +VAT,https://www.highspeedtraining.co.uk/food-safety/training/level3-supervising-food-safety-catering.aspx
Work At Height Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-working-at-heights-course.aspx
GDPR,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/gdpr-training.aspx
Workplace First Aid Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/workplace-first-aid-training.aspx
Designated Safeguarding Officer Training (Level 3 Safeguarding),60 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/designated-safeguarding-officer-training-course.aspx
Fire Warden Training,35 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/fire-warden-training.aspx
Level 2 Health and Safety in the Workplace,30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-health-and-safety-training.aspx
Level 3 HACCP Training,125 +VAT,https://www.highspeedtraining.co.uk/food-safety/level-3-haccp-course.aspx
Introduction to Safeguarding Children Training Course (Level 1 Safeguarding),30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/introduction-to-safeguarding-children-training-course.aspx
Level 3 Health & Safety in the Workplace,150 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-level-3-health-and-safety-training.aspx
Level 3 Supervising Food Safety in Manufacturing,125 +VAT,https://www.highspeedtraining.co.uk/food-safety/training/level3-food-safety-supervision-manufacturing.aspx
Level 2 Food Hygiene and Safety for Manufacturing,20 +VAT,https://www.highspeedtraining.co.uk/food-safety/training/level2-food-hygiene-safety-manufacturing.aspx
Advanced Safeguarding Children (Level 2 Safeguarding),39 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/advanced-safeguarding-children-training-course.aspx
Level 2 Food Hygiene and Safety for Retail,20 +VAT,https://www.highspeedtraining.co.uk/food-safety/training/level2-food-hygiene-safety-retail.aspx
